Dong,사업_생계형사업분포현황사업체수기준_Period,사업_생계형사업분포현황사업체수기준_Gu,사업_생계형사업분포현황사업체수기준_한식음식점업,사업_생계형사업분포현황사업체수기준_용달 및 개별화물 자동차운송업,사업_생계형사업분포현황사업체수기준_부동산자문 및 중개업,사업_생계형사업분포현황사업체수기준_의류점,사업_생계형사업분포현황사업체수기준_기타주점업,사업_생계형사업분포현황사업체수기준_두발미용업,사업_생계형사업분포현황사업체수기준_슈퍼마켓,사업_생계형사업분포현황사업체수기준_분식 및 김밥전문점,사업_생계형사업분포현황사업체수기준_비알콜 음료점,사업_생계형사업분포현황사업체수기준_가정용 세탁업,사업_생계형사업분포현황사업체수기준_노래연습장 운영업,사업_생계형사업분포현황사업체수기준_체인화 편의점,사업_생계형사업분포현황사업체수기준_치킨 전문점,사업_생계형사업분포현황사업체수기준_자동차 전문 수리업,사업_생계형사업분포현황사업체수기준_과실 및 채소소매업,사업_생계형사업분포현황사업체수기준_육류 소매업,사업_생계형사업분포현황사업체수기준_중국 음식점업,사업_생계형사업분포현황사업체수기준_당구장 운영업,사업_생계형사업분포현황사업체수기준_제과점업,사업_생계형사업분포현황사업체수기준_컴퓨터게임방 운영업
Sajik-dong,2013.0,Jongno-gu,346,11,55.0,47,91,27,37.0,61,132,11,8,25,14,5,6,5,23,11,16,4
Samcheong-dong,2013.0,Jongno-gu,61,9,5.0,40,X,-,14.0,15,79,X,-,7,-,-,-,-,4,-,7,-
Buam-dong,2013.0,Jongno-gu,29,17,13.0,13,13,7,13.0,13,32,8,X,5,3,9,-,-,3,X,4,X
Pyeongchang-dong,2013.0,Jongno-gu,57,24,32.0,18,21,17,15.0,9,17,10,4,7,5,3,X,4,5,X,6,X
Muak-dong,2013.0,Jongno-gu,19,294,13.0,X,6,9,8.0,6,6,8,X,3,5,X,X,X,X,-,3,X
Gyonam-dong,2013.0,Jongno-gu,25,15,9.0,6,6,7,10.0,5,8,3,3,6,7,X,-,-,X,X,X,X
Gahoe-dong,2013.0,Jongno-gu,74,8,15.0,18,12,8,15.0,13,42,4,X,5,8,X,X,X,4,X,3,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,2013.0,Jongno-gu,930,19,109.0,256,288,32,174.0,111,322,21,48,64,25,9,26,12,44,38,25,15
Jongno 5·6(oryuk)-ga-dong,2013.0,Jongno-gu,290,24,68.0,84,47,19,66.0,60,72,6,15,19,11,4,7,11,12,13,8,X
Ihwa-dong,2013.0,Jongno-gu,108,20,9.0,22,33,8,16.0,21,73,8,8,12,7,4,-,3,11,4,7,X
