Dong,사업_생계형사업분포현황종사자수기준_Period,사업_생계형사업분포현황종사자수기준_Gu,사업_생계형사업분포현황종사자수기준_한식음식점업,사업_생계형사업분포현황종사자수기준_의류점,사업_생계형사업분포현황종사자수기준_기타주점업,사업_생계형사업분포현황종사자수기준_부동산자문 및 중개업,사업_생계형사업분포현황종사자수기준_용달 및 개별화물 자동차운송업,사업_생계형사업분포현황종사자수기준_슈퍼마켓,사업_생계형사업분포현황종사자수기준_비알콜 음료점,사업_생계형사업분포현황종사자수기준_두발미용업,사업_생계형사업분포현황종사자수기준_분식 및 김밥전문점,사업_생계형사업분포현황종사자수기준_체인화 편의점,사업_생계형사업분포현황종사자수기준_중국 음식점업,사업_생계형사업분포현황종사자수기준_제과점업,사업_생계형사업분포현황종사자수기준_가정용 세탁업,사업_생계형사업분포현황종사자수기준_노래연습장 운영업,사업_생계형사업분포현황종사자수기준_치킨 전문점,사업_생계형사업분포현황종사자수기준_자동차 전문 수리업,사업_생계형사업분포현황종사자수기준_컴퓨터게임방 운영업,사업_생계형사업분포현황종사자수기준_과실 및 채소소매업,사업_생계형사업분포현황종사자수기준_육류 소매업,사업_생계형사업분포현황종사자수기준_당구장 운영업
Sajik-dong,2013.0,Jongno-gu,1447,95,209,119.0,11,82.0,445,46,162,103,147,81,20,17,69,15,11,11,9,16
Samcheong-dong,2013.0,Jongno-gu,296,65,X,11.0,9,21.0,257,-,46,27,44,47,X,-,-,-,-,-,-,-
Buam-dong,2013.0,Jongno-gu,114,19,35,16.0,17,31.0,77,12,50,25,17,8,11,4,6,17,3,-,-,X
Pyeongchang-dong,2013.0,Jongno-gu,259,20,28,40.0,29,58.0,48,22,18,35,24,23,13,4,10,8,6,3,6,4
Muak-dong,2013.0,Jongno-gu,47,X,11,15.0,297,20.0,8,10,17,13,11,12,10,X,10,6,11,X,X,-
Gyonam-dong,2013.0,Jongno-gu,80,10,19,11.0,15,16.0,23,8,13,40,7,4,7,4,14,3,12,-,-,X
Gahoe-dong,2013.0,Jongno-gu,303,27,31,18.0,10,35.0,125,9,31,26,26,12,5,3,18,5,-,4,4,X
Jongno 1·2·3·4(ilisamsa)-ga-dong,2013.0,Jongno-gu,3840,455,1033,265.0,30,310.0,1182,85,286,283,233,206,29,108,145,23,32,42,23,65
Jongno 5·6(oryuk)-ga-dong,2013.0,Jongno-gu,889,141,93,102.0,55,118.0,170,30,135,64,51,24,9,22,31,6,3,13,19,27
Ihwa-dong,2013.0,Jongno-gu,448,41,153,16.0,20,39.0,381,17,72,75,88,57,15,13,40,7,7,-,5,4
Changsin 1(il)-dong,2013.0,Jongno-gu,312,122,47,44.0,13,69.0,29,22,61,29,35,13,10,15,5,-,16,18,12,12
Changsin 2(i)-dong,2013.0,Jongno-gu,149,20,36,23.0,24,42.0,7,25,30,6,12,10,13,9,8,-,24,20,9,4
Changsin 3(sam)-dong,2013.0,Jongno-gu,34,X,-,18.0,26,10.0,8,15,8,3,3,X,8,X,12,X,4,3,7,-
Sungin 1(il)-dong,2013.0,Jongno-gu,88,12,15,21.0,25,36.0,7,18,9,9,7,6,7,-,15,X,X,X,5,X
Sungin 2(i)-dong,2013.0,Jongno-gu,278,41,47,42.0,34,60.0,57,25,31,41,15,7,18,30,18,-,16,14,9,9
Cheongunhyoja-dong,2013.0,Jongno-gu,112,30,7,39.0,31,43.0,77,21,27,13,16,7,11,X,8,X,X,21,20,6
Hyehwa-dong,2013.0,Jongno-gu,650,66,333,63.0,28,127.0,430,90,149,111,97,84,20,44,75,4,39,14,8,18
Sogong-dong,2013.0,Jung-gu,1436,670,146,144.0,X,112.0,562,70,165,121,173,110,6,18,28,-,X,8,4,22
Hoehyeon-dong,2013.0,Jung-gu,1136,1438,79,64.0,4,204.0,372,59,202,77,148,126,23,25,59,6,5,13,12,15
Myeong-dong,2013.0,Jung-gu,2635,1788,285,357.0,7,150.0,1063,389,273,245,423,243,9,25,80,8,16,10,4,52
Pil-dong,2013.0,Jung-gu,726,17,144,63.0,11,42.0,185,34,88,81,57,24,6,38,25,5,17,X,11,23
Jangchung-dong,2013.0,Jung-gu,260,61,42,30.0,13,37.0,47,13,26,23,35,24,9,7,6,-,7,-,3,6
Gwanghui-dong ,2013.0,Jung-gu,1060,3829,146,78.0,64,188.0,251,69,114,65,57,55,13,28,5,13,16,33,18,25
Euljiro-dong,2013.0,Jung-gu,872,117,109,62.0,22,118.0,146,12,100,76,61,17,8,24,11,X,X,5,5,41
Sindang 5(o)-dong,2013.0,Jung-gu,251,71,73,32.0,32,42.0,19,24,34,12,26,14,20,22,12,9,16,7,10,4
Hwanghak-dong,2013.0,Jung-gu,317,73,12,59.0,49,54.0,42,37,44,17,17,26,14,13,16,7,X,54,44,6
